date,time,HEELCode,river,station_name,mountain_range,water_temp,ppt_mm,snowmelt,spi_12,sampleday_quickflow,week_slowflow
10/13/2014,1,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,13.7,278.2656009,0,1.067984428,3.161,66.539
11/3/2014,2,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,11.3,334.0721996,0,1.2326304,19.115,123.677
12/8/2014,3,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,7.4,249.7032879,0,1.317928966,0,295.376
1/12/2015,4,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,6.7,268.3700001,0.657594909,1.412001112,1.055,317.07
2/9/2015,5,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,8.5,217.6264626,0.022365591,1.187996596,2.989,286.123
3/9/2015,6,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,9.9,218.4459865,0,0.516195307,0,116.08
4/13/2015,7,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,9.94,115.4200001,0,0.163181325,0,87.56
5/11/2015,8,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,11.9,45.15675737,0,-0.187015844,0,74.05
6/8/2015,9,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,18.8,17.32664399,0,-0.431071032,0,66.62
7/13/2015,10,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,18.6,24.36115647,0,-0.532235298,0,49.3
8/17/2015,11,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,20.7,80.69061225,0,-0.550722778,0,25.63
9/21/2015,12,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,15.5,90.14612248,0,-0.665746037,1.245,28.809
10/12/2015,13,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,12.7,288.0303175,0,-0.736645175,2.6,52.895
11/2/2015,14,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,10.6,363.9009751,0,-0.511849097,10.221,74.4
12/7/2015,15,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,8,560.4215418,0,0.388876054,0.509,151.271
1/4/2016,16,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,6.1,272.9167573,0,0.540890069,0,173.19
2/8/2016,17,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,6.2,292.4010203,8.782959574,0.693764963,2.065,319.309
3/7/2016,18,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,7.8,268.6595692,0.830630504,0.881323362,2.175,475.148
4/11/2016,19,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,10.3,70.51433115,0.079584522,0.789809008,0,126.69
5/9/2016,20,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,12.6,104.7945578,0,0.939866748,0,94.63
6/13/2016,21,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,13.5,141.922721,0,1.280349184,2.354,71.436
7/11/2016,22,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,14.4,55.63233561,0,1.347672536,0,54.27
8/22/2016,23,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,16.9,29.58097507,0,1.193908995,0,29.49
9/12/2016,24,A,Cedar,Cedar R @ Logan St/Renton,Cascade Range,14,97.83453517,0,1.217425259,0.719,32.861
10/13/2014,1,B,Green,Green R @ Tukwila,Cascade Range,NA,221.9713101,0,0.913442988,1.061,138.33
11/3/2014,2,B,Green,Green R @ Tukwila,Cascade Range,10.4,253.8673101,0,1.092898922,0,298.718
12/8/2014,3,B,Green,Green R @ Tukwila,Cascade Range,7.1,202.5254061,0,1.254851849,0,389.36
1/12/2015,4,B,Green,Green R @ Tukwila,Cascade Range,6.8,206.5635547,0.142926328,1.320673767,0,690.285
2/9/2015,5,B,Green,Green R @ Tukwila,Cascade Range,8.1,168.3697467,0.377261184,1.081879343,23.249,445.948
3/9/2015,6,B,Green,Green R @ Tukwila,Cascade Range,8.7,164.5984978,0.025468497,0.415262508,0,191.19
4/13/2015,7,B,Green,Green R @ Tukwila,Cascade Range,10.04,84.25087335,0,0.063877897,0,209.96
5/11/2015,8,B,Green,Green R @ Tukwila,Cascade Range,14.1,39.85831441,0,-0.26151047,0,144.47
6/8/2015,9,B,Green,Green R @ Tukwila,Cascade Range,20.8,14.85857642,0,-0.490644687,0,94.07
7/13/2015,10,B,Green,Green R @ Tukwila,Cascade Range,20.1,19.05870743,0,-0.594703263,0,55.89
8/17/2015,11,B,Green,Green R @ Tukwila,Cascade Range,21.7,64.87100438,0,-0.600805946,0.281,57.732
9/21/2015,12,B,Green,Green R @ Tukwila,Cascade Range,17.4,62.35990394,0,-0.715640663,1.632,64.61
10/12/2015,13,B,Green,Green R @ Tukwila,Cascade Range,14.3,244.953476,0,-0.795998854,3.011,90.865
11/2/2015,14,B,Green,Green R @ Tukwila,Cascade Range,10.09,293.9453536,0,-0.551760459,121.297,136.891
12/9/2015,15,B,Green,Green R @ Tukwila,Cascade Range,8.3,450.4576855,0,0.335105327,206.57,380.39
1/4/2016,16,B,Green,Green R @ Tukwila,Cascade Range,4.4,225.5502883,0,0.541173884,0,335.55
2/8/2016,17,B,Green,Green R @ Tukwila,Cascade Range,5.9,233.6935633,9.624944261,0.722102791,0,545.576
3/7/2016,18,B,Green,Green R @ Tukwila,Cascade Range,7.9,204.2255983,1.858309723,0.900822854,0,629.75
4/11/2016,19,B,Green,Green R @ Tukwila,Cascade Range,9.9,58.25944106,0.308675484,0.819605495,0,408.637
5/9/2016,20,B,Green,Green R @ Tukwila,Cascade Range,12.9,80.44396505,0.054806696,0.950335806,0,156.23
6/13/2016,21,B,Green,Green R @ Tukwila,Cascade Range,17.1,105.7980873,0,1.271041568,0,95.06
7/11/2016,22,B,Green,Green R @ Tukwila,Cascade Range,16.6,41.1081572,0,1.332236463,0,91.75
8/22/2016,23,B,Green,Green R @ Tukwila,Cascade Range,19,22.00250656,0,1.166363362,0.167,79.46
9/12/2016,24,B,Green,Green R @ Tukwila,Cascade Range,16.7,77.57732749,0,1.216743981,0,78.857
10/14/2014,1,C,Nooksack,Nooksack R @ Brennan,Cascade Range,10.8,379.2609356,0.475493606,1.028298982,85.372,341.938
11/4/2014,2,C,Nooksack,Nooksack R @ Brennan,Cascade Range,9.2,360.534175,0,1.190013664,216.471,1386.919
12/9/2014,3,C,Nooksack,Nooksack R @ Brennan,Cascade Range,8,312.1489032,0,1.678827439,52.878,1148.892
1/13/2015,4,C,Nooksack,Nooksack R @ Brennan,Cascade Range,5.6,272.7114487,4.190184786,1.929941206,0,1258.876
2/10/2015,5,C,Nooksack,Nooksack R @ Brennan,Cascade Range,8.1,199.2557494,1.592749631,1.881927076,19.874,1400.209
3/10/2015,6,C,Nooksack,Nooksack R @ Brennan,Cascade Range,9.1,260.330166,0.569778452,1.418876684,0,437.2
4/14/2015,7,C,Nooksack,Nooksack R @ Brennan,Cascade Range,8.35,112.0848239,0,1.18872444,0,611.63
