HEELCode,mountain_range,land_use,geomorphology,time,date,tmean_C,PDHI_aw,ppt_mm,snowmelt2,sampleday_quickflow,week_slowflow,ppt_mm_month,spi_12,spi_09,ppt_mm_cm,tmean_C_cm,snowmelt2_cm,water_temp,swe
A,cascades,urban,low,1,10/13/2014,14.18848777,2.308943067,119.504331,0,3.161,66.539,57.41,1.067984428,2.379506357,278.2656009,11.24408492,0,13.7,0
A,cascades,urban,low,2,11/3/2014,10.46203964,2.171037844,316.5018368,0,19.115,123.677,168.65,1.2326304,1.828244669,334.0721996,4.543510204,0,11.3,0.337995465
A,cascades,urban,low,3,12/8/2014,3.055490266,1.709505541,248.7940363,0,0,295.376,83.76,1.317928966,0.826987824,249.7032879,3.510506913,0,7.4,0.6799605
A,cascades,urban,low,4,1/12/2015,3.336145907,1.209888617,300.8817008,0.862214402,1.055,317.07,95.4,1.412001112,0.344561542,268.3700001,4.969945139,0.657594909,6.7,0.022365591
A,cascades,urban,low,5,2/9/2015,5.666961843,0.520405501,288.2764625,0.119099226,2.989,286.123,143.79,1.187996596,0.240919117,217.6264626,6.355568921,0.022365591,8.5,0
A,cascades,urban,low,6,3/9/2015,6.325852686,0.244736276,95.4368481,0,0,116.08,46.1,0.516195307,0.2382619,218.4459865,7.553023187,0,9.9,0
A,cascades,urban,low,7,4/13/2015,6.990990304,-1.270032989,181.6778233,0,0,87.56,110.15,0.163181325,0.068802489,115.4200001,7.35097052,0,9.94,0
A,cascades,urban,low,8,5/11/2015,9.121676439,-1.973613366,89.7067801,0,0,74.05,38.85,-0.187015844,-0.307905781,45.15675737,12.0769,0,11.9,0
A,cascades,urban,low,9,6/8/2015,13.4773962,-2.92188795,45.07798186,0,0,66.62,15.18,-0.431071032,-0.637656635,17.32664399,16.71788284,0,18.8,0
A,cascades,urban,low,10,7/13/2015,18.83426069,-3.617224693,5.657006804,0,0,49.3,1,-0.532235298,-1.156475526,24.36115647,18.35879416,0,18.6,0
A,cascades,urban,low,11,8/17/2015,17.36636445,-3.217813114,46.56251704,0,0,25.63,24.55,-0.550722778,-1.2930198,80.69061225,17.20703825,0,20.7,0
A,cascades,urban,low,12,9/21/2015,13.65860231,-3.189783165,137.1180499,0,1.245,28.809,70.52,-0.665746037,-1.325140869,90.14612248,12.48370295,0,15.5,0
A,cascades,urban,low,13,10/12/2015,12.12699233,-2.698795545,112.8868253,0,2.6,52.895,61.63,-0.736645175,-0.667648033,288.0303175,11.56190805,0,12.7,0
A,cascades,urban,low,14,11/2/2015,11.13557315,-1.970158457,319.1791156,0,10.221,74.4,137.89,-0.511849097,-0.281084046,363.9009751,3.865919123,0,10.6,0.0112774
A,cascades,urban,low,15,12/7/2015,3.434940574,1.978089811,427.9809071,0,0.509,151.271,186.02,0.388876054,0.705970284,560.4215418,2.00204996,0,8,0.168322727
A,cascades,urban,low,16,1/4/2016,1.175541481,1.804240335,475.3871654,0,0,173.19,229.08,0.540890069,0.791522338,272.9167573,2.889383002,0,6.1,9.6931746
A,cascades,urban,low,17,2/8/2016,3.832331302,1.841252085,305.5156915,0,2.065,319.309,186.54,0.693764963,1.136664876,292.4010203,5.545447653,8.782959574,6.2,0.910215026
A,cascades,urban,low,18,3/7/2016,6.331614281,2.363443975,323.5092744,5.040172804,2.175,475.148,171.42,0.881323362,1.502338539,268.6595692,5.792626,0.830630504,7.8,0.079584522
A,cascades,urban,low,19,4/11/2016,7.645808902,1.168926017,144.754059,0.464109782,0,126.69,55.15,0.789809008,1.339268337,70.51433115,10.22010809,0.079584522,10.3,0
A,cascades,urban,low,20,5/9/2016,10.89382516,-1.091887023,61.88385494,0.012803972,0,94.63,32.24,0.939866748,1.215112397,104.7945578,11.63478312,0,12.6,0
A,cascades,urban,low,21,6/13/2016,12.42716006,-1.422498795,132.0553742,0,2.354,71.436,33.03,1.280349184,1.395990035,141.922721,13.93100907,0,13.5,0
A,cascades,urban,low,22,7/11/2016,13.19591524,-1.254960896,140.0468934,0,0,54.27,52.62,1.347672536,1.227214673,55.63233561,15.45718674,0,14.4,0
A,cascades,urban,low,23,8/22/2016,17.2814618,-1.639815968,25.31544219,0,0,29.49,2.48,1.193908995,1.006777572,29.58097507,16.87832419,0,16.9,0
A,cascades,urban,low,24,9/12/2016,15.49730745,-1.547458394,44.69691611,0,0.719,32.861,21.48,1.217425259,-0.012884291,97.83453517,12.57045541,0,14,0
B,cascades,urban,mid,1,10/13/2014,14.7294662,2.207806559,91.98941496,0,1.061,138.33,56.59,0.913442988,2.329410678,221.9713101,11.78820566,0,NA,0
B,cascades,urban,mid,2,11/3/2014,11.0005326,2.035864322,249.018524,0,0,298.718,157.89,1.092898922,1.728926984,253.8673101,4.854470452,0,10.4,0.220037264
B,cascades,urban,mid,3,12/8/2014,3.286817949,1.59526953,195.3421136,0,0,389.36,78.92,1.254851849,0.744977443,202.5254061,3.839342443,0,7.1,0.545656008
B,cascades,urban,mid,4,1/12/2015,3.640508809,1.094342681,240.7133275,0.554682126,0,690.285,87.98,1.320673767,0.242594947,206.5635547,5.214595435,0.142926328,6.8,0.40272968
B,cascades,urban,mid,5,2/9/2015,6.017283993,0.366258768,217.8227511,0.038043367,23.249,445.948,137.6,1.081879343,0.162400507,168.3697467,6.783180131,0.377261184,8.1,0.025468497
B,cascades,urban,mid,6,3/9/2015,6.730072278,0.124358879,74.09101309,0.215154947,0,191.19,44.24,0.415262508,0.169673431,164.5984978,8.055198902,0.025468497,8.7,0
B,cascades,urban,mid,7,4/13/2015,7.579654722,-1.214941866,132.2648559,8.83E-04,0,209.96,102.73,0.063877897,-0.009111665,84.25087335,7.959577877,0,10.04,0
B,cascades,urban,mid,8,5/11/2015,9.711496162,-1.931551154,63.58220087,0,0,144.47,35.72,-0.26151047,-0.378387011,39.85831441,12.6326053,0,14.1,0
B,cascades,urban,mid,9,6/8/2015,14.0880131,-2.880833917,42.43186027,0,0,94.07,13.92,-0.490644687,-0.668542954,14.85857642,17.40004017,0,20.8,0
B,cascades,urban,mid,10,7/13/2015,19.4659616,-3.620110365,4.976637549,0,0,55.89,0.41,-0.594703263,-1.201224147,19.05870743,19.0512651,0,20.1,0
B,cascades,urban,mid,11,8/17/2015,18.0792614,-3.238396752,36.41062885,0,0.281,57.732,19.63,-0.600805946,-1.277225488,64.87100438,17.85028046,0,21.7,0
B,cascades,urban,mid,12,9/21/2015,14.31780259,-3.184905833,100.2822358,0,1.632,64.61,61.32,-0.715640663,-1.400302543,62.35990394,13.10060669,0,17.4,0
B,cascades,urban,mid,13,10/12/2015,12.58655112,-2.777198177,84.01874233,0,3.011,90.865,60,-0.795998854,-0.684643784,244.953476,11.81294492,0,14.3,0
B,cascades,urban,mid,14,11/2/2015,11.38449751,-1.997874851,267.1883057,0,121.297,136.891,136.3,-0.551760459,-0.312361583,293.9453536,4.186690539,0,10.09,8.12E-04
B,cascades,urban,mid,15,12/9/2015,4.020116098,2.037675672,443.6702095,0,206.57,380.39,254.16,0.335105327,0.676746469,450.4576855,2.516572053,0,8.3,0.311824199
B,cascades,urban,mid,16,1/4/2016,1.548253877,1.880713256,386.011764,0,0,335.55,213.7,0.541173884,0.799957209,225.5502883,3.16545429,0,4.4,11.84673616
B,cascades,urban,mid,17,2/8/2016,4.221272099,1.90339133,250.3475983,0,0,545.576,185.5,0.722102791,1.152570859,233.6935633,5.942381268,9.624944261,5.9,2.221791903
