date,time,HEELCode,river,station_name,NO3_mgL,N_peak_area,d15N,O_peak_area,d18Ovsmow_Corrected,Q,our_yield,monthly_yield,linearComp_yield,linearComp_yieldNA,mountain_range,linearComp_flux,WsAreaSqKm,linearComp_km2
10/13/2014,1,A,Cedar,Cedar R @ Logan St/Renton,0.107,6.179,6.2037,2.518,20.68374087,13.50622227,0.001607811,0.002731436,0.003346042,0.003346042,cascades,152.9578597,457.1307,0.334604216
11/3/2014,2,A,Cedar,Cedar R @ Logan St/Renton,0.17,53.5345,2.17835,23.9875,-2.731774348,33.64890854,0.005546914,0.010811682,0.011552107,0.011552107,cascades,528.0822739,457.1307,1.155210696
12/8/2014,3,A,Cedar,Cedar R @ Logan St/Renton,0.199,56.3555,1.61815,25.2615,-3.149553465,35.99162518,0.013235674,0.01353717,0.014021864,0.014021864,cascades,640.9824486,457.1307,1.402186396
1/12/2015,4,A,Cedar,Cedar R @ Logan St/Renton,0.218,36.955,1.1781,14.814,0.143453501,41.43394036,0.015962234,0.017072066,0.019517875,0.019517875,cascades,892.2219849,457.1307,1.951787497
2/9/2015,5,A,Cedar,Cedar R @ Logan St/Renton,0.389,37.235,2.9432,15.373,-0.001945686,32.01624008,0.02809468,0.023539286,0.021631128,0.021631128,cascades,988.8252705,457.1307,2.163112804
3/9/2015,6,A,Cedar,Cedar R @ Logan St/Renton,0.277,26.494,3.9,11.461,0.519678661,15.95517276,0.013419283,0.008353234,0.008370284,0.008370284,cascades,382.6313663,457.1307,0.837028374
4/13/2015,7,A,Cedar,Cedar R @ Logan St/Renton,0.268,52.333,4.9754,23.575,1.057260778,11.14739852,0.00753772,0.00564653,0.005246424,0.005246424,cascades,239.8301377,457.1307,0.524642378
5/11/2015,8,A,Cedar,Cedar R @ Logan St/Renton,0.167,5.679,4.7,1.938,7.944251401,8.971873066,0.003148601,0.002831868,0.002896153,0.002896153,cascades,132.3920643,457.1307,0.289615343
6/8/2015,9,A,Cedar,Cedar R @ Logan St/Renton,0.163,21.912,4.1,9.334,1.137100518,8.332703991,0.00266437,0.002567124,0.002305435,0.002305435,cascades,105.3885251,457.1307,0.23054353
7/13/2015,10,A,Cedar,Cedar R @ Logan St/Renton,0.11,33.5085,4.3994,14.1245,-0.832582641,5.504429555,0.001561537,0.001144401,0.001243291,0.001243291,cascades,56.83463787,457.1307,0.124329077
8/17/2015,11,A,Cedar,Cedar R @ Logan St/Renton,0.175,34.401,4.7497,13.884,1.212201969,3.310330685,0.00122889,0.001094921,0.000975928,0.000975928,cascades,44.61267082,457.1307,0.097592813
9/21/2015,12,A,Cedar,Cedar R @ Logan St/Renton,0.104,12.479,6,5.5115,4.16081391,4.731745028,0.00074106,0.000930097,0.001039093,0.001039093,cascades,47.50014107,457.1307,0.103909322
10/12/2015,13,A,Cedar,Cedar R @ Logan St/Renton,0.144,14.531,7.9,6.49,3.023625276,9.562873053,0.001875704,0.002602701,0.004822731,0.004822731,cascades,220.4618329,457.1307,0.482273085
11/2/2015,14,A,Cedar,Cedar R @ Logan St/Renton,0.635,23.385,2.6,9.985,3.147463522,41.74469492,0.013468753,0.050101228,0.044187536,0.044187536,cascades,2019.947924,457.1307,4.418753595
12/7/2015,15,A,Cedar,Cedar R @ Logan St/Renton,0.518,32.966,4.0925,13.39,1.790489459,55.81798487,0.042218106,0.054648377,0.053202681,0.053202681,cascades,2432.057864,457.1307,5.320268063
1/4/2016,16,A,Cedar,Cedar R @ Logan St/Renton,0.545,31.853,3.607,12.857,1.520872487,28.94164388,0.060193817,0.029812133,0.021742999,0.021742999,cascades,993.9392495,457.1307,2.174299931
2/8/2016,17,A,Cedar,Cedar R @ Logan St/Renton,0.251,34.381,3.2633,14.855,0.286988244,55.39361016,0.017669798,0.026278874,0.025056774,0.025056774,cascades,1145.422057,457.1307,2.505677385
3/7/2016,18,A,Cedar,Cedar R @ Logan St/Renton,0.203,34.234,2.6031,15.284,0.171000974,38.62417845,0.022988024,0.014819333,0.015189972,0.015189972,cascades,694.3802553,457.1307,1.518997204
