mod_covar,Q,logLik,AICc,num.param,delta.AICc
ppt_mmmtn,equalvarcov,-67.59657425165959,173.52761949308027,18,0
ppt_mmgeo,equalvarcov,-66.86121407799457,174.32516788201656,19,0.797548388936292
ppt_mmlulc,equalvarcov,-67.57619076373653,175.75512125350048,19,2.2275017604202105
water_tempmtn,equalvarcov,-72.47721577699463,183.28890254375034,18,9.761283050670073
water_tempgeo,equalvarcov,-72.08901998524533,184.78077969651807,19,11.253160203437801
ppt_mm,equalvarcov,-75.39938008287936,186.88039281881996,17,13.35277332573969
ppt_mmu,equalvarcov,-62.08952763077232,188.3492680275021,29,14.821648534421826
water_tempu,equalvarcov,-68.83967560726741,201.84956398049226,29,28.321944487411997
water_templulc,equalvarcov,-81.1880502171775,202.97884016038242,19,29.451220667302152
snowmeltmtn,equalvarcov,-86.41609907028402,211.16666913032913,18,37.63904963724886
snowmeltgeo,equalvarcov,-86.02681480081839,212.65636932766418,19,39.128749834583914
null,equalvarcov,-90.8377081157528,215.51948402811578,16,41.99186453503552
snowmelt,equalvarcov,-90.8166187874244,217.71487022791004,17,44.187250734829775
water_temp,equalvarcov,-90.95611067003564,217.99385399313252,17,44.46623450005225
snowmeltlulc,equalvarcov,-89.2469924483537,219.0967246227348,19,45.56910512965453
spi_12,equalvarcov,-93.25038295822914,222.5823985695195,17,49.054779076439246
spi_12mtn,equalvarcov,-92.1303932436296,222.59525747702028,18,49.06763798394002
spi_12geo,equalvarcov,-92.12991289248804,224.86256551100348,19,51.334946017923215
spi_12lulc,equalvarcov,-92.51009759319831,225.62293491242403,19,52.09531541934376
spi_12u,equalvarcov,-82.30965383376811,228.78952043349366,29,55.2619009404134
snowmeltu,equalvarcov,-82.63844811563932,229.44710899723609,29,55.91948950415582
ppt_mm,unconstrained,38.696867936016204,245.259922664553,106,71.73230317147272
ppt_mmmtn,unconstrained,40.83627336031711,245.62157092642457,107,72.0939514333443
ppt_mmgeo,unconstrained,40.90702313215055,250.16624930220132,108,76.63862980912106
ppt_mmlulc,unconstrained,39.02580070530544,253.92869415589155,108,80.40107466281128
null,unconstrained,24.454787046248732,269.148678334687,105,95.62105884160675
water_temp,unconstrained,24.491878377180374,273.66990178222466,106,100.14228228914439
spi_12,unconstrained,24.465696496645926,273.72226554329353,106,100.19464605021327
snowmelt,unconstrained,24.431494949709787,273.7906686371658,106,100.26304914408556
