term,estimate,std.error,conf.low,conf.up
R.diag,0.0342714948160126,0.00464034272451819,0.025176590200034477,0.04336639943199072
Q.diag,0.2133839973418334,0.058963344835044756,0.09781796505712988,0.3289500296265369
Q.offdiag,0.1975458677984364,0.05884281676285865,0.08221606619434368,0.3128756694025291
x0.X.A,-0.5121016900252737,0.48528521131847185,-1.4632432264393878,0.4390398463888403
x0.X.B,-0.16923151104960432,0.4848563105148457,-1.1195324173356709,0.7810693952364621
x0.X.C,-0.5576053392748221,0.5014883153891486,-1.540504376105217,0.42529369755557267
x0.X.E,-0.3401416149958809,0.492062992711309,-1.3045673588350413,0.6242841288432796
x0.X.F,-0.025084710711247737,0.4916783646913723,-0.9887565974838874,0.938587176061392
x0.X.G,0.1758993397424451,0.49185430015082676,-0.7881173741943288,1.139916053679219
x0.X.H,-0.05657927070298996,0.48704177312210317,-1.0111636049888402,0.8980050635828601
x0.X.I,0.4834702230618806,0.4886990396317688,-0.4743622938956986,1.4413027400194598
x0.X.J,-0.35705196721922583,0.4849542370072207,-1.3075448059034795,0.5934408714650279
x0.X.K,-0.6026019001757525,0.48455607089731495,-1.5523143476247268,0.34711054727322155
x0.X.L,0.528975674755471,0.48496264205439205,-0.421533637518527,1.479484987029469
x0.X.M,-0.2723618794902203,0.48371855177245754,-1.2204328196181105,0.6757090606376698
x0.X.Z,0.2724239933339172,0.48925208950533194,-0.6864924814575002,1.2313404681253346
C.A.ppt_mm,0.41264594787641073,0.06916918561912479,0.27707683522296034,0.5482150605298611
C.B.ppt_mm,0.4053515571908602,0.06910385817795615,0.2699104839693025,0.5407926304124179
C.C.ppt_mm,0.4183861652722388,0.07020068692493803,0.2807953472093885,0.5559769833350892
C.E.ppt_mm,0.4322433536012819,0.07026842198982852,0.2945197772507557,0.5699669299518082
C.F.ppt_mm,0.3591918213777819,0.06858962116512331,0.224758634180894,0.49362500857466973
C.G.ppt_mm,0.3339451325975026,0.06927952284624168,0.19815976295274906,0.4697305022422561
C.H.ppt_mm,0.37781407963967967,0.06815453952781536,0.2442336367822501,0.5113945224971093
C.I.ppt_mm,0.291222619813303,0.0702106251141613,0.15361232325750346,0.42883291636910253
C.J.ppt_mm,0.41077939324872786,0.06893160392342934,0.2756759321622265,0.5458828543352292
C.K.ppt_mm,0.422349269718151,0.06870042075144914,0.2876989193225626,0.5569996201137395
C.L.ppt_mm,0.2775438235671048,0.0672074206858238,0.14581969952905793,0.4092679476051516
C.M.ppt_mm,0.45968802917822826,0.06839030155898362,0.3256455012307869,0.5937305571256697
C.Z.ppt_mm,0.3355009954888645,0.0697935149945606,0.1987082197450695,0.4722937712326595
