term,estimate,std.error,conf.low,conf.up
R.diag,0.07578131057302886,0.006717214279609312,0.06261581250855645,0.08894680863750128
Q.diag,0.25410049552771136,0.0765385125370107,0.10408776752490301,0.4041132235305197
Q.offdiag,0.2540752388028216,0.07653748693585954,0.10406452094133206,0.4040859566643112
x0.X.A,0.2649371952593924,0.5128881840932988,-0.7403051736596222,1.270179564178407
x0.X.B,0.2718044926263019,0.5130107941903905,-0.7336781876671532,1.277287172919757
x0.X.C,0.2663307541955646,0.5127486149165218,-0.738638064163615,1.2712995725547442
x0.X.E,0.23663790207149304,0.5133841048833184,-0.7695764537351446,1.2428522578781307
x0.X.F,0.2742227296124611,0.5129570599885063,-0.731154633580563,1.2796000928054851
x0.X.G,0.27225619118365785,0.5128488172602156,-0.7329090201603281,1.2774214025276438
x0.X.H,0.2776657029345415,0.5129725533534909,-0.7277420266958516,1.2830734325649347
x0.X.I,0.21477596661077314,0.5130641624269698,-0.790811313504296,1.2203632467258423
x0.X.J,0.23940695029767767,0.5130619529319594,-0.766175999286747,1.2449898998821023
x0.X.K,0.2756583535752952,0.5135364526685383,-0.7308545984034978,1.2821713055540882
x0.X.L,0.20983426559530471,0.5131636635766279,-0.7959480331895146,1.215616564380124
x0.X.M,0.26628366583298657,0.5127972761113646,-0.7387805267155296,1.2713478583815028
x0.X.Z,0.2184582230977412,0.5130307308117105,-0.7870635322554744,1.2239799784509569
C.cascades.snowmelt,0.013398311377690956,0.013111027999684628,-0.012298831301987135,0.03909545405736905
C.olympics.snowmelt,-0.06057135030809034,0.0254003523452322,-0.11035512609937295,-0.010787574516807737
